MaStR-Nr. der Stromerzeugungseinheit,Anzeige-Name der Stromerzeugungseinheit,Bundesland der Einheit,Auswertung Energieträger,Bruttoleistung in MW,Nettonennleistung (elektrische Wirkleistung) in MW,Volleinspeisung oder Teileinspeisung?,Anschlussnetzbetreiber,Spannungsebene
SEE976607134694,KWK 2 Geb. 192.0,Bayern,Erdgas,4.13,4.09,Teileinspeisung (einschließlich Eigenverbrauch),Bayernwerk Netz GmbH (SNB940352624434),Umspannebene Hochspannung/Mittelspannung
SEE953182244383,MHKW Mannheim Generator X1,Baden-Württemberg,Abfall,5.48,4.08,Teileinspeisung (einschließlich Eigenverbrauch),MVV Netze GmbH (SNB985472799266),Mittelspannung
SEE906834978235,Lage Generator 2,Nordrhein-Westfalen,Steinkohle,4.48,4.077,Teileinspeisung (einschließlich Eigenverbrauch),Westfalen Weser Netz GmbH (SNB929881052512),Mittelspannung
SEE930232746332,Scheuring K(Ro)1,Bayern,Wasser,4.5,4.067,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE907294548426,Scheuring K(Ro)2,Bayern,Wasser,4.5,4.067,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE927477486369,Scheuring K(Ro)3,Bayern,Wasser,4.5,4.067,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE932259668697,Unterbergen K(Ro)1,Bayern,Wasser,4.7,4.067,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE934999181948,Unterbergen K(Ro)2,Bayern,Wasser,4.7,4.067,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE940552188637,Unterbergen K(Ro)3,Bayern,Wasser,4.7,4.067,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE973546643669,Prittriching K(Ro)1,Bayern,Wasser,4.1,4.033333,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE975578379660,Prittriching K(Ro)2,Bayern,Wasser,4.1,4.033333,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE907339611450,Prittriching K(Ro)3,Bayern,Wasser,4.1,4.033333,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE950208762586,Untereichen F1,Bayern,Wasser,4,4,Teileinspeisung (einschließlich Eigenverbrauch),LEW Verteilnetz GmbH (SNB911705062982),Umspannebene Mittelspannung/Niederspannung
SEE968240296907,Untereichen F2,Bayern,Wasser,4,4,Teileinspeisung (einschließlich Eigenverbrauch),LEW Verteilnetz GmbH (SNB911705062982),Umspannebene Mittelspannung/Niederspannung
SEE940791401320,Au F1,Bayern,Wasser,4,4,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Umspannebene Hochspannung/Mittelspannung
SEE933649593711,Au F2,Bayern,Wasser,4,4,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Umspannebene Hochspannung/Mittelspannung
SEE931158678738,Koblenz Maschine 1,Rheinland-Pfalz,Wasser,4,4,Volleinspeisung,Energienetze Mittelrhein GmbH & Co. KG (SNB980055629275),Mittelspannung
SEE996485724770,Koblenz Maschine 2,Rheinland-Pfalz,Wasser,4,4,Volleinspeisung,Energienetze Mittelrhein GmbH & Co. KG (SNB980055629275),Mittelspannung
SEE996357195448,Koblenz Maschine 3,Rheinland-Pfalz,Wasser,4,4,Volleinspeisung,Energienetze Mittelrhein GmbH & Co. KG (SNB980055629275),Mittelspannung
SEE961061178896,Koblenz Maschine 4,Rheinland-Pfalz,Wasser,4,4,Volleinspeisung,Energienetze Mittelrhein GmbH & Co. KG (SNB980055629275),Mittelspannung
SEE909007092769,Merching K(Ro)1,Bayern,Wasser,4.5,4,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE996794687834,Merching K(Ro)2,Bayern,Wasser,4.5,4,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Mittelspannung; Umspannebene Mittelspannung/Niederspannung
SEE935359739632,Merching K(Ro)3,Bayern,Wasser,4.5,4,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE932109633288,Schwabstadl K(Ro)1,Bayern,Wasser,4.3,4,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE948263410344,Schwabstadl K(Ro)2,Bayern,Wasser,4.3,4,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE972467909069,Schwabstadl K(Ro)3,Bayern,Wasser,4.3,4,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE927303933470,Nordland GuD-Anlage ND-DTS,Niedersachsen,Erdgas,4.1,3.995,Volleinspeisung,EWE NETZ GmbH (SNB951051725711),Umspannebene Hochspannung/Mittelspannung
SEE981751032420,VERA Gasturbine,Hamburg,Biomasse,4.9,3.9,Teileinspeisung (einschließlich Eigenverbrauch),Hamburger Energienetze GmbH (SNB968295079586),Mittelspannung
SEE955978509164,SKW Hohenwarte 1 Maschine C,Thüringen,Wasser,4,3.88,Volleinspeisung,TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Hochspannung
SEE914224312040,Gasmotoren-Blockheizkraftwerk I (Generator 1),Sachsen,Erdgas,3.884,3.879,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE932664806912,Gasmotoren-Blockheizkraftwerk I (Generator 2),Sachsen,Erdgas,3.884,3.879,,SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE987679030500,Gasmotoren-Blockheizkraftwerk I (Generator 3),Sachsen,Erdgas,3.884,3.879,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE923918497345,Gasmotoren-Blockheizkraftwerk I (Generator 4),Sachsen,Erdgas,3.884,3.879,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE903406002589,Gasmotoren-Blockheizkraftwerk I (Generator 5),Sachsen,Erdgas,3.884,3.879,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE956441736957,Gasmotoren-Blockheizkraftwerk I (Generator 6),Sachsen,Erdgas,3.884,3.879,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE970377695522,Gasmotoren-Blockheizkraftwerk I (Generator 7),Sachsen,Erdgas,3.884,3.879,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE992079247007,Gasmotoren-Blockheizkraftwerk I (Generator 8),Sachsen,Erdgas,3.884,3.879,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE995527175044,Gasmotoren-Blockheizkraftwerk I (Generator 9),Sachsen,Erdgas,3.884,3.879,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE946394519998,BHKW M8,Bayern,Erdgas,3.9,3.815651,Teileinspeisung (einschließlich Eigenverbrauch),Flughafen München GmbH (SNB919526009605),Mittelspannung
SEE949201577754,BHKW M9,Bayern,Erdgas,3.9,3.815651,Teileinspeisung (einschließlich Eigenverbrauch),Flughafen München GmbH (SNB919526009605),Mittelspannung
SEE987736068934,DKW Leinau Diesel 1,Bayern,Mineralölprodukte,3.8,3.8,Volleinspeisung,Vereinigte Wertach Elektrizitätswerke GmbH (SNB966808200267),Mittelspannung
SEE917962193414,DKW Leinau Diesel 2,Bayern,Mineralölprodukte,3.8,3.8,Volleinspeisung,Vereinigte Wertach Elektrizitätswerke GmbH (SNB966808200267),Mittelspannung
SEE922964729325,DKW Leinau Diesel 3,Bayern,Mineralölprodukte,3.8,3.8,Volleinspeisung,Vereinigte Wertach Elektrizitätswerke GmbH (SNB966808200267),Mittelspannung
SEE971876915975,Gasmotoren-Blockheizkraftwerk II (Generator 1),Sachsen,Erdgas,3.832,3.772,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE921008505376,Gasmotoren-Blockheizkraftwerk II (Generator 2),Sachsen,Erdgas,3.832,3.772,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE916894674336,Gasmotoren-Blockheizkraftwerk II (Generator 3),Sachsen,Erdgas,3.832,3.772,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE910080930862,Gasmotoren-Blockheizkraftwerk II (Generator 4),Sachsen,Erdgas,3.832,3.772,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE960430412456,Gasmotoren-Blockheizkraftwerk II (Generator 5),Sachsen,Erdgas,3.832,3.772,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE912978354040,Gasmotoren-Blockheizkraftwerk II (Generator 6),Sachsen,Erdgas,3.832,3.772,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE905054165586,Gasmotoren-Blockheizkraftwerk II (Generator 7),Sachsen,Erdgas,3.832,3.772,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE970143794190,Gasmotoren-Blockheizkraftwerk II (Generator 8),Sachsen,Erdgas,3.832,3.772,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE955085348786,Gasmotoren-Blockheizkraftwerk II (Generator 9),Sachsen,Erdgas,3.832,3.772,Teileinspeisung (einschließlich Eigenverbrauch),SachsenNetze GmbH (SNB980808485264),Mittelspannung
SEE977277909087,Mühltal F1,Bayern,Wasser,3.74,3.74,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Mittelspannung
SEE937830141170,BHKW-G66-KWK-klein,Sachsen,Erdgas,3.8,3.736,Teileinspeisung (einschließlich Eigenverbrauch),Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931),Umspannebene Hochspannung/Mittelspannung
SEE992625046054,Mühltal F2,Bayern,Wasser,3.73,3.73,Teileinspeisung (einschließlich Eigenverbrauch),Bayernwerk Netz GmbH (SNB940352624434),Mittelspannung
SEE949500107867,Mühltal F3,Bayern,Wasser,3.73,3.73,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Mittelspannung
SEE964121468647,HDH_004_Industrieheizkraftwerk-Heidenheim_GM5,Baden-Württemberg,Erdgas,3.884,3.729,Teileinspeisung (einschließlich Eigenverbrauch),Hellenstein-Energie-Logistik GmbH (SNB924453035597),Mittelspannung
SEE908119179962,HDH_004_Industrieheizkraftwerk-Heidenheim_GM4,Baden-Württemberg,Erdgas,3.884,3.725,Teileinspeisung (einschließlich Eigenverbrauch),Hellenstein-Energie-Logistik GmbH (SNB924453035597),Mittelspannung
SEE933767950021,AEG,Nordrhein-Westfalen,Biomasse,3.705,3.705,Teileinspeisung (einschließlich Eigenverbrauch),Westnetz GmbH (SNB921897286493),Mittelspannung
SEE970928898099,VMA 1,Bayern,Mineralölprodukte,3.8,3.7,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Schweinfurt GmbH (SNB922811950100),Mittelspannung
SEE994543149961,ESA-BHKW,Nordrhein-Westfalen,Erdgas,3.9,3.7,Volleinspeisung,,Mittelspannung
SEE927766801477,PKV Dampfsammelschienen-KWK-Anlage Generator / Turbine DT 11,Niedersachsen,Erdgas,3.76,3.647,Teileinspeisung (einschließlich Eigenverbrauch),EWE NETZ GmbH (SNB951051725711),Mittelspannung
SEE974521954909,Gasturbine 6,Rheinland-Pfalz,Erdgas,3.8,3.6,Teileinspeisung (einschließlich Eigenverbrauch),Pfalzwerke Netz AG (SNB961471621746),Mittelspannung
SEE965755251490,WKW Dettingen M1,Baden-Württemberg,Wasser,3.6,3.6,Teileinspeisung (einschließlich Eigenverbrauch),Netze BW GmbH (SNB948311994307),Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung; Mittelspannung
SEE929681132193,WKW Dettingen M2,Baden-Württemberg,Wasser,3.6,3.6,Teileinspeisung (einschließlich Eigenverbrauch),Netze BW GmbH (SNB948311994307),Mittelspannung
SEE982923767645,WKW Dettingen M3,Baden-Württemberg,Wasser,3.6,3.6,Teileinspeisung (einschließlich Eigenverbrauch),Netze BW GmbH (SNB948311994307),Mittelspannung
SEE918548652318,Kraftwerk Fulda Aggregat 1,Hessen,Mineralölprodukte,3.75,3.6,Volleinspeisung,OsthessenNetz GmbH (SNB934071779865),Umspannebene Hochspannung/Mittelspannung
SEE978267393503,VERA Dampfturbine,Hamburg,sonstige Energieträger (nicht erneuerbar),5.2,3.6,Teileinspeisung (einschließlich Eigenverbrauch),Hamburger Energienetze GmbH (SNB968295079586),Mittelspannung
SEE981067351215,Heizkraftwerk Leipzig Süd Schwarzstartbatterie 9C,Sachsen,Batteriespeicher,4,3.5,Volleinspeisung,Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931),Hochspannung
SEE950140538850,Dessau K(Ro)1,Bayern,Wasser,4.2,3.433,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE988465448257,Dessau K(Ro)2,Bayern,Wasser,4.2,3.433,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE960357727398,Dessau K(Ro)3,Bayern,Wasser,4.2,3.433,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE945038569870,Turbinengenerator4-SiemensT5471,Baden-Württemberg,Erdgas,4.725,3.4,Teileinspeisung (einschließlich Eigenverbrauch),Netze BW GmbH (SNB948311994307),Mittelspannung
SEE937978171572,Turbine 2,Nordrhein-Westfalen,Abfall,6.6,3.4,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Iserlohn GmbH (SNB913730249284),Mittelspannung
SEE986418252418,Partition_1,Sachsen,Batteriespeicher,3.4,3.4,Teileinspeisung (einschließlich Eigenverbrauch),Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE954351462355,Partition_2,Sachsen,Batteriespeicher,3.4,3.4,Teileinspeisung (einschließlich Eigenverbrauch),Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE905647753862,Partition_3,Sachsen,Batteriespeicher,3.4,3.4,Teileinspeisung (einschließlich Eigenverbrauch),Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE943565217936,Partition_4,Sachsen,Batteriespeicher,3.4,3.4,Teileinspeisung (einschließlich Eigenverbrauch),Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE969618944758,Zeltingen Maschine 1,Rheinland-Pfalz,Wasser,3.4,3.4,Volleinspeisung,Westnetz GmbH (SNB921897286493),Mittelspannung
SEE931088083121,Zeltingen Maschine 2,Rheinland-Pfalz,Wasser,3.4,3.4,Volleinspeisung,Westnetz GmbH (SNB921897286493),Mittelspannung
SEE941420464426,Zeltingen Maschine 3,Rheinland-Pfalz,Wasser,3.4,3.4,Volleinspeisung,Westnetz GmbH (SNB921897286493),Mittelspannung
SEE961196425506,Zeltingen Maschine 4,Rheinland-Pfalz,Wasser,3.4,3.4,Volleinspeisung,Westnetz GmbH (SNB921897286493),Mittelspannung
SEE996946209945,P12,Baden-Württemberg,Erdgas,3.375,3.375,Teileinspeisung (einschließlich Eigenverbrauch),MVV Netze GmbH (SNB985472799266),Mittelspannung
SEE929915888797,Urspring K(Ro) 1,Bayern,Wasser,4,3.366,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE954975672987,Urspring K(Ro) 2,Bayern,Wasser,4,3.366,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE926876352800,Urspring K(Ro) 3,Bayern,Wasser,4,3.366,Volleinspeisung,LEW Verteilnetz GmbH (SNB911705062982),Hochspannung
SEE919395394109,Leipzig KWK 2,Sachsen,Erdgas,3.36,3.36,Teileinspeisung (einschließlich Eigenverbrauch),Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE967283752913,Werk 1.5 KWK 1,Bayern,Erdgas,3.431,3.36,Teileinspeisung (einschließlich Eigenverbrauch),SWM Infrastruktur GmbH & Co. KG (SNB969473762610),Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Mittelspannung
SEE995752550746,Werk 1.5 KWK 2,Bayern,Erdgas,3.431,3.36,Teileinspeisung (einschließlich Eigenverbrauch),SWM Infrastruktur GmbH & Co. KG (SNB969473762610),Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Mittelspannung
SEE982889459141,Werk 1.5 KWK 3,Bayern,Erdgas,3.431,3.36,Teileinspeisung (einschließlich Eigenverbrauch),SWM Infrastruktur GmbH & Co. KG (SNB969473762610),Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Mittelspannung
SEE927436598478,Werk 1.5 KWK 4,Bayern,Erdgas,3.431,3.36,Teileinspeisung (einschließlich Eigenverbrauch),SWM Infrastruktur GmbH & Co. KG (SNB969473762610),Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung; Mittelspannung
SEE939429845179,Querdel SKW Biomethan1,Nordrhein-Westfalen,Biomasse,3.352,3.352,Volleinspeisung,Westnetz GmbH (SNB921897286493),Mittelspannung
SEE900576662001,Querdel SKW Biomethan2,Nordrhein-Westfalen,Biomasse,3.352,3.352,Volleinspeisung,Westnetz GmbH (SNB921897286493),Mittelspannung
SEE987993663941,Querdel SKW Biomethan3,Nordrhein-Westfalen,Biomasse,3.352,3.352,Volleinspeisung,Westnetz GmbH (SNB921897286493),Mittelspannung
SEE952340290002,Felix Schoeller GmbH & Co.KG Weißenborn DT,Sachsen,Erdgas,3.343,3.343,Teileinspeisung (einschließlich Eigenverbrauch),Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931),Mittelspannung
SEE977622942226,Gasmotor 1 Mod.,Saarland,Erdgas,3.352,3.334,Volleinspeisung,Creos Deutschland GmbH (SNB940133714842),Mittelspannung
SEE934337929126,Gasmotor 2 Mod.,Saarland,Erdgas,3.352,3.334,Volleinspeisung,Creos Deutschland GmbH (SNB940133714842),Mittelspannung
SEE968581935343,Gasmotor 3 Mod.,Saarland,Erdgas,3.352,3.334,Volleinspeisung,Creos Deutschland GmbH (SNB940133714842),Mittelspannung
SEE913600410226,Gasmotor 4 Mod.,Saarland,Erdgas,3.352,3.334,Volleinspeisung,Creos Deutschland GmbH (SNB940133714842),Mittelspannung
SEE908070409573,Gasmotor 5 Mod.,Saarland,Erdgas,3.352,3.334,Volleinspeisung,Creos Deutschland GmbH (SNB940133714842),Mittelspannung
SEE943764365964,Gasmotor 6 Mod.,Saarland,Erdgas,3.352,3.334,Volleinspeisung,Creos Deutschland GmbH (SNB940133714842),Mittelspannung
SEE952242150978,WKW Unteropfingen M1,Baden-Württemberg,Wasser,3.325,3.325,Teileinspeisung (einschließlich Eigenverbrauch),Netze BW GmbH (SNB948311994307),Mittelspannung
SEE944923156256,WKW Unteropfingen M2,Baden-Württemberg,Wasser,3.325,3.325,Teileinspeisung (einschließlich Eigenverbrauch),Netze BW GmbH (SNB948311994307),Mittelspannung
SEE989300885374,WKW Unteropfingen M3,Baden-Württemberg,Wasser,3.325,3.325,Teileinspeisung (einschließlich Eigenverbrauch),Netze BW GmbH (SNB948311994307),Mittelspannung
SEE951078548935,0050 - STW - BHKW - KWK,Nordrhein-Westfalen,Erdgas,3.356,3.313,Volleinspeisung,Stadtwerke Kempen GmbH (SNB943042904373),Mittelspannung
SEE945779125267,Pfreimd T2,Bayern,Wasser,3.3,3.3,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Umspannebene Hochspannung/Mittelspannung
SEE960058020569,Spitzenstromerzeuger 3 (Diesel 3 HKW-West),Baden-Württemberg,Mineralölprodukte,3.52,3.3,Volleinspeisung,,Umspannebene Hochspannung/Mittelspannung
SEE910806335483,Spitzenstromerzeuger 4 (Diesel 4 HKW-West),Baden-Württemberg,Mineralölprodukte,3.3,3.3,Volleinspeisung,,Umspannebene Hochspannung/Mittelspannung
SEE925648480314,medl BHKW Broich Modul 1,Nordrhein-Westfalen,Biomasse,3.293,3.293,Volleinspeisung,Westnetz GmbH (SNB921897286493),Mittelspannung
SEE997562455938,BHKW Obere Viehweide M1 (Waldhäuser Str 100),Baden-Württemberg,Erdgas,3.352,3.293,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Tübingen GmbH (SNB921695080347),Mittelspannung
SEE921316314745,BHKW Obere Viehweide M3 (Waldhäuser Str 100),Baden-Württemberg,Erdgas,3.352,3.288,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Tübingen GmbH (SNB921695080347),Mittelspannung
SEE961328936443,BHKW Obere Viehweide M2 (Waldhäuser Str 100),Baden-Württemberg,Erdgas,3.352,3.286,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Tübingen GmbH (SNB921695080347),Mittelspannung
SEE912463283787,GM1,Bayern,Biomasse,3.352,3.285,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Rosenheim Netze GmbH (SNB988838479086),Mittelspannung
SEE921399860047,GM2,Bayern,Erdgas,3.352,3.285,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Rosenheim Netze GmbH (SNB988838479086),Mittelspannung
SEE945563004310,GM3,Bayern,Erdgas,3.352,3.285,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Rosenheim Netze GmbH (SNB988838479086),Mittelspannung
SEE900295294101,BHKW Obere Viehweide M4 (Waldhäuser Str 100),Baden-Württemberg,Erdgas,3.352,3.233,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Tübingen GmbH (SNB921695080347),Mittelspannung
SEE914931712744,HK_001_Industrieheizkraftwerk-Walsrode_BHKW-GM1,Niedersachsen,Erdgas,3.2,3.2,Teileinspeisung (einschließlich Eigenverbrauch),Avacon Netz GmbH (SNB990362338043),Umspannebene Hochspannung/Mittelspannung
SEE955802157592,HK_001_Industrieheizkraftwerk-Walsrode_BHKW-GM2,Niedersachsen,Erdgas,3.2,3.2,Teileinspeisung (einschließlich Eigenverbrauch),Avacon Netz GmbH (SNB990362338043),Umspannebene Hochspannung/Mittelspannung
SEE984352856976,Leipzig KWK 1,Sachsen,Erdgas,3.119,3.119,Teileinspeisung (einschließlich Eigenverbrauch),Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931),Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung
SEE969263477915,Motor 6,Niedersachsen,Biomasse,3.054,3.054,Volleinspeisung,EWE NETZ GmbH (SNB951051725711),Umspannebene Hochspannung/Mittelspannung
SEE968035471069,Motor 7,Niedersachsen,Biomasse,3.054,3.054,Volleinspeisung,EWE NETZ GmbH (SNB951051725711),Umspannebene Hochspannung/Mittelspannung
SEE942954514045,DA_BHKW_01,Hessen,Erdgas,3.12,3.04,Teileinspeisung (einschließlich Eigenverbrauch),e-netz Südhessen AG (SNB956958990736),Mittelspannung
SEE958827094903,Gasturbine 1,Rheinland-Pfalz,Erdgas,3.3,3,Teileinspeisung (einschließlich Eigenverbrauch),Westnetz GmbH (SNB921897286493),Umspannebene Hochspannung/Mittelspannung
