MaStR-Nr. der Stromerzeugungseinheit,Anzeige-Name der Stromerzeugungseinheit,Bundesland der Einheit,Auswertung Energieträger,Bruttoleistung in MW,Nettonennleistung (elektrische Wirkleistung) in MW,Volleinspeisung oder Teileinspeisung?,Anschlussnetzbetreiber,Spannungsebene
SEE927419839802,"Heizkraftwerk Bonn-Nord, Gasturbine 2 der GuD-Anlage",Nordrhein-Westfalen,Erdgas,39.291,39.186,Teileinspeisung (einschließlich Eigenverbrauch),Westnetz GmbH (SNB921897286493),Hochspannung
SEE957769851605,HKW West Turbine 5,Hessen,Erdgas,39.3,39.137,Teileinspeisung (einschließlich Eigenverbrauch),NRM Netzdienste Rhein-Main GmbH (SNB921899277833),Hochspannung
SEE976907281142,HKW Dessau,Sachsen-Anhalt,Erdgas,39.836,39.12,Volleinspeisung,Dessauer Stromversorgung GmbH (SNB954281375657),Mittelspannung
SEE931001040675,KW Plattling DT,Bayern,Erdgas,39.078,39.078,Volleinspeisung,Bayernwerk Netz GmbH (SNB940352624434),Umspannebene Höchstspannung/Hochspannung
SEE963454497492,Dampfturbine 2 Jena,Thüringen,Erdgas,40,39,Volleinspeisung,TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Umspannebene Hochspannung/Mittelspannung
SEE998644964959,Gasturbine 1 Jena,Thüringen,Erdgas,40,39,Volleinspeisung,TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Umspannebene Hochspannung/Mittelspannung
SEE994538470544,Gasturbine 2 Jena,Thüringen,Erdgas,40,39,Volleinspeisung,TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Umspannebene Hochspannung/Mittelspannung
SEE959025997980,Gasturbine 3 Jena,Thüringen,Erdgas,40,39,Volleinspeisung,TEN Thüringer Energienetze GmbH & Co. KG (SNB970821959712),Umspannebene Hochspannung/Mittelspannung
SEE902840312209,S300 NKT,Rheinland-Pfalz,Wärme,40,39,Teileinspeisung (einschließlich Eigenverbrauch),,
SEE946412220059,RKI Iffezheim M5,Baden-Württemberg,Wasser,38.85,38.85,Teileinspeisung (einschließlich Eigenverbrauch),Netze BW GmbH (SNB948311994307),Hochspannung; Hochspannung; Hochspannung
SEE949895584069,HKW Sandreuth (DT3),Bayern,Erdgas,44.45,38.774,Volleinspeisung,N-ERGIE Netz GmbH (SNB973875583315),Umspannebene Hochspannung/Mittelspannung
SEE943297204990,ZF-SBR-GuD-Heizkraftwerk,Saarland,Erdgas,39.0292,38.6102,Teileinspeisung (einschließlich Eigenverbrauch),Stadtwerke Saarbrücken Netz AG (SNB985382489820),Hochspannung; Umspannebene Hochspannung/Mittelspannung
SEE972356296461,Gasturbine,Baden-Württemberg,Erdgas,39.92,38.498,Teileinspeisung (einschließlich Eigenverbrauch),badenovaNETZE GmbH (SNB965774651691),Hochspannung
SEE959858570855,GT4,Sachsen-Anhalt,Erdgas,39,38.4,Volleinspeisung,InfraLeuna GmbH (SNB982722829230),Mittelspannung
SEE983877705974,Gasturbinenkraftwerk Thyrow GT E,Brandenburg,Erdgas,38.8,38.34,Volleinspeisung,50Hertz Transmission GmbH (SNB982046657236),Hochspannung
SEE949216632202,Dampfturbine 13,Schleswig-Holstein,Erdgas,38.7,38.2,Volleinspeisung,Stadtwerke Flensburg GmbH (SNB922220582657),Mittelspannung
SEE911283118750,Industriekraftwerk Greifswald GmbH,Mecklenburg-Vorpommern,Erdgas,39,38.2,Volleinspeisung,E.DIS Netz GmbH (SNB941690671609),Hochspannung
SEE904604163027,Karnap B,Nordrhein-Westfalen,Abfall,48,38,Teileinspeisung (einschließlich Eigenverbrauch),Westnetz GmbH (SNB921897286493),Hochspannung
BNA1294,EEV,Hamburg,Mineralölprodukte,,38,,Stromnetz Hamburg GmbH,Hochspannung (HS)
